OTA,Main POI,Language,Tour Type,Group size,Meals,Departure City,"Depature time_
(+-30 mins)
Destination_Timezone",Check Date_Time (GMT+8),,Lowest_Price_AID,Price_USD,Price_Destination_Local,,
Klook,Kiyomizu Temple,Chinese,Private,-,No,Osaka / Kyoto,7:00 AM,,,No match found,,,,
Klook,Kiyomizu Temple,English,Join,small,No,Osaka / Kyoto,7:00 AM,,,https://www.klook.com/en-US/activity/159431,65.99,"¥10,143",,
Klook,Kiyomizu Temple,Korean,Join,small,No,Osaka / Kyoto,7:00 AM,,,No match found,,,,
Klook,Kiyomizu Temple,Chinese,Join,small,No,Osaka / Kyoto,7:00 AM,,,https://www.klook.com/en-US/activity/159431,65.99,"¥10,143",,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,Korean,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,English,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/633,159.55,"¥25,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,No match found,,,,
Klook,Kiyomizu Temple,Korean,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,No match found,,,,
Klook,Kiyomizu Temple,Japanese,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/633,159.55,"¥25,500",,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,Korean,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,Japanese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,Korean,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,Japanese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,English,Private,-,No,Osaka / Kyoto,7:00 AM,,,https://www.klook.com/en-US/activity/95171,585.65,"¥90,000",,
Klook,Kiyomizu Temple,Chinese,Private,-,No,Osaka / Kyoto,7:00 AM,,,No match found,,,,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Korean,Join,big,No,Osaka / Kyoto,7:30 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
Klook,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,7:30 AM,,,https://www.klook.com/en-US/activity/187615,46.95,"¥7,500",,
Klook,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,7:30 AM,,,https://www.klook.com/en-US/activity/87844,47.59,"¥7,607",,
KKday,Kiyomizu Temple,Chinese,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/4073,75.12,"¥11,995",,
KKday,Kiyomizu Temple,Japanese,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/4073,75.12,"¥11,995",,
KKday,Kiyomizu Temple,English,Join,big,Yes,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/4073,75.12,"¥11,995",,
KKday,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,9:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Japanese,Join,big,No,Osaka / Kyoto,9:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,9:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Japanese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,English,Private,-,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Chinese,Private,-,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Cantonese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,English,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Chinese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Japanese,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Korean,Join,big,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/4073,75.12,"¥11,995",,
KKday,Kiyomizu Temple,English,Join,small,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Chinese,Join,small,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Japanese,Join,small,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,English,Private,-,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
KKday,Kiyomizu Temple,Chinese,Private,-,No,Osaka / Kyoto,8:00 AM,,,https://www.kkday.com/en/product/263298,56.35,"¥8,998",,
Klook,DMZ zone,English,Join,big,No,Seoul,8:00 AM,2026-04-01 12:40,,https://www.klook.com/en-US/activity/103456,37.6,"₩56,600",,
Klook,DMZ zone,Chinese,Join,big,No,Seoul,8:00 AM,2026-04-01 12:40,,https://www.klook.com/en-US/activity/119745,76.35,"₩115,000",,
Klook,DMZ zone,Japanese,Join,big,No,Seoul,8:00 AM,2026-04-01 12:40,,https://www.klook.com/en-US/activity/103456,37.6,"₩56,600",,
Klook,DMZ zone,English,Join,small,No,Seoul,8:00 AM,2026-04-01 12:40,,https://www.klook.com/en-US/activity/155392,48.05,"₩72,400",,
Klook,DMZ zone,Chinese,Join,small,No,Seoul,8:00 AM,2026-04-01 12:40,,No match found,,,,
Klook,DMZ zone,Japanese,Join,small,No,Seoul,8:00 AM,2026-04-01 12:40,,No match found,,,,
Klook,DMZ zone,English,Private,-,No,Seoul,8:00 AM,2026-04-01 12:40,,https://www.klook.com/en-US/activity/103456,37.6,"₩56,600",,
Klook,DMZ zone,Chinese,Private,-,No,Seoul,8:00 AM,2026-04-01 12:40,,https://www.klook.com/en-US/activity/198959,400,"₩602,700",,
KKday,DMZ zone,English,Join,big,No,Seoul,8:00 AM,2026-04-01 12:40,,https://www.kkday.com/en/product/271271,35.69,"₩53,756",,
KKday,DMZ zone,Chinese,Join,big,No,Seoul,8:00 AM,2026-04-01 12:40,,https://www.kkday.com/en/product/271271,35.69,"₩53,756",,
KKday,DMZ zone,Japanese,Join,big,No,Seoul,8:00 AM,2026-04-01 12:40,,https://www.kkday.com/en/product/271271,35.69,"₩53,756",,
KKday,DMZ zone,English,Join,small,No,Seoul,8:00 AM,2026-04-01 12:40,,No match found,33.2,"₩50,363",,
KKday,DMZ zone,Chinese,Join,small,No,Seoul,8:00 AM,2026-04-01 12:40,,No match found,33.2,"₩50,363",,
KKday,DMZ zone,Japanese,Join,small,No,Seoul,8:00 AM,2026-04-01 12:40,,No match found,35,"₩53,094",,
KKday,DMZ zone,English,Private,-,No,Seoul,8:00 AM,2026-04-01 12:40,,No match found,,,,
KKday,DMZ zone,Chinese,Private,-,No,Seoul,8:00 AM,2026-04-01 12:40,,No match found,,,,
